occupancy_date,sector,capacity_type,location_city,occupancy_rate
2024-01-04,Mixed Adult,Room Based Capacity,Toronto,97.59036144578312
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,98
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Room Based Capacity,Scarborough,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,63.63636363636363
2024-01-04,Women,Bed Based Capacity,Toronto,97.2972972972973
2024-01-04,Women,Bed Based Capacity,Toronto,92
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,98.57142857142858
2024-01-04,Mixed Adult,Room Based Capacity,North York,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,85.71428571428571
